property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,closest_train_station_id
87520,-37.93343400000001,145.01943500000004,22 Barnett Street,HAMPTON,WYNDHAM,19937,1.523,16.14074074074074,1,4651,2612,Bayside,78,1653,2032200,11231,19937.0
66172,-37.763396,145.315844,3 Chinook Crescent,MOOROOLBARK,WEST WIMMERA,19877,2.396,22.9618320610687,1,7655,1413,Yarra Ranges,80,1360,874500,18998,19877.0
36791,-37.6091467,144.9452544,12 Potter Street,CRAIGIEBURN,YARRA RANGES,40221,0.834,21.0,1,19933,1906,Hume,74,1349,643500,25491,40221.0
32042,-37.7431446,145.01725090000005,17 Lovelace Street,PRESTON,BOROONDARA,20013,1.529,15.1875,1,11418,7672,Darebin,63,1155,1075700,27067,20013.0
25143,-37.588912,144.930047,11 Rosewood Place,CRAIGIEBURN,YARRA RANGES,40221,1.853,21.0,1,19933,1906,Hume,74,1349,643500,25491,40221.0
37965,-37.77239,145.024247,123 Perry Street,FAIRFIELD,NILLUMBIK,19931,0.909,13.333333333333334,1,2113,1694,Darebin,73,1538,1615300,9227,19931.0
35418,-37.72802734,145.030014,67 Crevelli Street,RESERVOIR,EAST GIPPSLAND,20010,2.376,19.105263157894736,1,16913,8713,Darebin,63,972,861800,45591,20010.0
14165,-37.75648499,144.9238281,26 Wheeler Place,ESSENDON,NILLUMBIK,20037,0.674,7.5,1,6869,5592,Moonee Valley,81,1571,1550000,22442,20037.0
38489,-37.76243,145.047929,1 Melcombe Road,IVANHOE,BASS COAST,19934,0.545,14.782608695652174,1,4147,2613,Banyule,77,1709,1560600,14278,19934.0
17057,-37.703788,144.937872,32 Cosmos Street,GLENROY,WYNDHAM,20032,1.821,13.76923076923077,1,7882,4021,Moreland,66,1004,743900,27707,20032.0
91030,-37.972975,145.057222,8 Waller Court,CHELTENHAM,YARRA RANGES,19866,0.742,18.83823529411765,1,8087,5856,Kingston,74,1233,1167300,18907,19866.0
54334,-37.82036591,145.0404205,27 William Street,HAWTHORN,YARRA,19904,0.371,6.0,1,5753,11459,Boroondara,72,1627,2103800,19166,19904.0
95750,-37.92258072,145.04650880000003,4 Wood Street,BENTLEIGH,HOBSONS BAY,19938,1.011,15.293650793650794,1,5799,3228,Glen Eira,72,1538,1649200,17630,19938.0
16961,-37.710498,144.924631,29 Golf Links Road,GLENROY,WYNDHAM,20033,0.874,12.916666666666666,1,7882,4021,Moreland,66,1004,743900,27707,20033.0
57469,-37.830461,145.163419,1 Leons Court,BLACKBURN,GREATER GEELONG,19899,1.491,14.655339805825243,1,4821,2501,Whitehorse,75,1387,1485900,27564,19899.0
89437,-37.95098,145.019824,3 Neptune Street,SANDRINGHAM,PYRENEES,19948,1.342,,0,3340,2563,Bayside,79,1836,1785000,8146,19948.0
10748,-37.79157100000001,144.925508,62 Epsom Road,KENSINGTON,SOUTH GIPPSLAND,20041,0.505,5.0,1,3940,4804,Melbourne,62,1401,1202200,14523,20041.0
